time,open,high,low,close,Chars,Chars,Chars,Chars,Chars,Chars,Chars,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close)
1756490400,23459.25,23460,23443.25,23446.25,0,0,0,0,0,0,0,NaN,23460,23443.25,23446.25
1756490700,23446,23465.25,23442.25,23463.5,0,0,0,0,0,0,0,NaN,23465.25,23442.25,23463.5
1756491000,23463,23467.25,23449.5,23460.5,0,0,0,0,0,0,0,NaN,23467.25,23449.5,23460.5
1756491300,23460.25,23465.25,23455.25,23459.25,0,0,0,0,0,0,0,NaN,23465.25,23455.25,23459.25
1756491600,23459,23459,23433.5,23451.75,0,0,0,0,0,0,0,NaN,23459,23433.5,23451.75
1756491900,23451.5,23456.5,23437,23441.5,0,0,0,0,0,0,0,NaN,23456.5,23437,23441.5
1756492200,23440.75,23463,23440.75,23459.5,0,0,0,0,0,0,0,NaN,23463,23440.75,23459.5
1756492500,23459.75,23464,23448,23448.5,0,0,0,0,0,0,0,NaN,23464,23448,23448.5
1756492800,23448.75,23454.5,23442.25,23444,0,0,0,0,0,0,0,NaN,23454.5,23442.25,23444
1756493100,23444.25,23450.75,23441.5,23444,0,0,0,0,0,0,0,NaN,23450.75,23441.5,23444
1756493400,23443.75,23453.5,23438,23450,0,0,0,0,0,0,0,NaN,23453.5,23438,23450
1756493700,23450.25,23459.5,23445,23459,0,0,0,0,0,0,0,NaN,23459.5,23445,23459
1756494000,23459,23462.75,23452.25,23458.75,0,0,0,0,0,0,0,NaN,23462.75,23452.25,23458.75
1756494300,23458.75,23472,23456.25,23470,0,0,0,0,0,0,0,NaN,23472,23456.25,23470
1756494600,23469.75,23475.25,23461.25,23467,0,0,0,0,0,0,0,NaN,23475.25,23461.25,23467
1756494900,23467,23477,23465.75,23476.25,0,0,0,0,0,0,0,NaN,23477,23465.75,23476.25
1756495200,23476,23485,23467,23472.5,0,0,0,0,0,0,0,NaN,23485,23467,23472.5
1756495500,23472.25,23472.5,23456,23463.5,0,0,0,0,0,0,0,NaN,23472.5,23456,23463.5
1756495800,23463.25,23473.25,23460,23460,0,0,0,0,0,0,0,NaN,23473.25,23460,23460
1756496100,23460.75,23463,23444.5,23458.25,0,0,0,0,0,0,0,NaN,23463,23444.5,23458.25
1756496400,23458.5,23482.75,23456.5,23478.5,0,0,0,0,0,0,0,NaN,23482.75,23456.5,23478.5
1756496700,23478.25,23495.25,23469,23474,0,0,0,0,0,0,0,NaN,23495.25,23469,23474
1756497000,23474.25,23483.5,23426.75,23429.25,0,0,0,0,0,0,0,NaN,23483.5,23426.75,23429.25
1756497300,23429.25,23474.75,23426,23473.5,0,0,0,0,0,0,0,NaN,23474.75,23426,23473.5
1756497600,23473,23488.5,23453.25,23466.5,0,0,0,0,0,0,0,NaN,23488.5,23453.25,23466.5
1756497900,23466.5,23471.75,23457,23461.25,0,0,0,0,0,0,0,NaN,23471.75,23457,23461.25
1756498200,23461.5,23466,23455.75,23465,0,0,0,0,0,0,0,NaN,23466,23455.75,23465
1756498500,23465,23465.25,23454.75,23459.25,0,0,0,0,0,0,0,NaN,23465.25,23454.75,23459.25
1756498800,23459.25,23464.5,23457.25,23463,0,0,0,0,0,0,0,NaN,23464.5,23457.25,23463
1756499100,23463,23463,23452.75,23456.25,0,0,0,0,0,0,0,NaN,23463,23452.75,23456.25
1756499400,23455.75,23457.25,23453.5,23456.75,0,0,0,0,0,0,0,NaN,23457.25,23453.5,23456.75
1756499700,23457,23460.75,23456.75,23457.5,0,0,0,0,0,0,0,NaN,23460.75,23456.75,23457.5
1756500000,23457.5,23460.25,23452.25,23453.25,0,0,0,0,0,0,0,NaN,23460.25,23452.25,23453.25
1756500300,23453.5,23456.25,23452.25,23456,0,0,0,0,0,0,0,NaN,23456.25,23452.25,23456
1756500600,23456,23464.25,23455,23463,0,0,0,0,0,0,0,NaN,23464.25,23455,23463
1756500900,23462.75,23463,23454.25,23454.5,0,0,0,0,0,0,0,NaN,23463,23454.25,23454.5
1756677600,23479,23499,23464,23492,0,0,0,0,0,0,0,NaN,23499,23464,23492
1756677900,23491.25,23515,23479.75,23512.75,0,0,0,0,0,0,0,NaN,23515,23479.75,23512.75
1756678200,23512.25,23514.5,23503.5,23504.5,0,0,0,0,0,0,0,NaN,23514.5,23503.5,23504.5
1756678500,23505.25,23514.5,23500.5,23513.75,0,0,0,0,0,0,0,NaN,23514.5,23500.5,23513.75
1756678800,23514.25,23514.5,23505.75,23509.5,0,0,0,0,0,0,0,NaN,23514.5,23505.75,23509.5
1756679100,23509.25,23510.25,23498.5,23499.75,0,0,0,0,0,0,0,NaN,23510.25,23498.5,23499.75
1756679400,23500.75,23508,23499,23505.75,0,0,0,0,0,0,0,NaN,23508,23499,23505.75
1756679700,23505.75,23514.5,23505.25,23512,0,0,0,0,0,0,0,NaN,23514.5,23505.25,23512
1756680000,23512.25,23525.25,23511.25,23522.25,0,0,0,0,0,0,0,NaN,23525.25,23511.25,23522.25
1756680300,23523.5,23528,23522.75,23523.75,0,0,0,0,0,0,0,NaN,23528,23522.75,23523.75
1756680600,23524.5,23533.75,23524.25,23532.5,0,0,0,0,0,0,0,NaN,23533.75,23524.25,23532.5
1756680900,23532,23537,23532,23536,0,0,0,0,0,0,0,NaN,23537,23532,23536
1756681200,23535.25,23546.25,23535.25,23540,0,0,0,0,0,0,0,NaN,23546.25,23535.25,23540
1756681500,23540.75,23542.75,23536.25,23538.5,0,0,0,0,0,0,0,NaN,23542.75,23536.25,23538.5
1756681800,23538.75,23539.75,23532.75,23536.5,0,0,0,0,0,0,0,NaN,23539.75,23532.75,23536.5
1756682100,23536.5,23541,23532,23533,0,0,0,0,0,0,0,NaN,23541,23532,23533
1756682400,23533,23535.25,23531,23531.25,0,0,0,0,0,0,0,NaN,23535.25,23531,23531.25
1756682700,23530.75,23535.75,23530,23533.75,0,0,0,0,0,0,0,NaN,23535.75,23530,23533.75
1756683000,23534.75,23535.5,23531,23532,0,0,0,0,0,0,0,NaN,23535.5,23531,23532
1756683300,23532,23536.25,23530,23533,0,0,0,0,0,0,0,NaN,23536.25,23530,23533
