time,open,high,low,close,Chars,Chars,Chars,Chars,Chars,Chars,Chars,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close)
2025-09-16T08:45:00-04:00,24600,24605.75,24598,24604,0,0,0,0,0,0,0,NaN,24605.75,24598,24604
2025-09-16T08:50:00-04:00,24604,24604,24595,24596.25,0,0,0,0,0,0,0,NaN,24604,24595,24596.25
2025-09-16T08:55:00-04:00,24596.25,24604.5,24588.25,24597,0,0,0,0,0,0,0,NaN,24604.5,24588.25,24597
2025-09-16T09:00:00-04:00,24597.25,24607.75,24593.25,24606.5,0,0,0,0,0,0,0,NaN,24607.75,24593.25,24606.5
2025-09-16T09:05:00-04:00,24605.75,24609.75,24596.75,24598,0,0,0,0,0,0,0,NaN,24609.75,24596.75,24598
2025-09-16T09:10:00-04:00,24597.5,24601.25,24595.75,24598,0,0,0,0,0,0,0,NaN,24601.25,24595.75,24598
2025-09-16T09:15:00-04:00,24596.75,24601,24595,24598.5,0,0,0,0,0,0,0,NaN,24601,24595,24598.5
2025-09-16T09:20:00-04:00,24599,24609.5,24597,24607.25,0,0,0,0,0,0,0,NaN,24609.5,24597,24607.25
2025-09-16T09:25:00-04:00,24608,24608,24586,24588.75,0,0,0,0,0,0,0,NaN,24608,24586,24588.75
2025-09-16T09:30:00-04:00,24588.25,24600.5,24559,24570.25,0,0,0,0,0,0,0,NaN,24600.5,24559,24570.25
2025-09-16T09:35:00-04:00,24570.5,24578.75,24555,24558,0,0,0,0,0,0,0,NaN,24578.75,24555,24558
2025-09-16T09:40:00-04:00,24557.5,24573,24551.75,24567.75,0,0,0,0,0,0,0,NaN,24573,24551.75,24567.75
2025-09-16T09:45:00-04:00,24567.75,24570.25,24545,24562,0,0,0,0,0,0,0,NaN,24570.25,24545,24562
2025-09-16T09:50:00-04:00,24562.25,24564.75,24527,24538,0,0,0,0,0,0,0,NaN,24564.75,24527,24538
2025-09-16T09:55:00-04:00,24537.75,24547,24523.75,24538.25,0,0,0,0,0,0,0,NaN,24547,24523.75,24538.25
2025-09-16T10:00:00-04:00,24538,24547.75,24527.75,24537,0,0,0,0,0,0,0,NaN,24547.75,24527.75,24537
2025-09-16T10:05:00-04:00,24536.75,24555.25,24536,24544.75,0,0,0,0,0,0,0,NaN,24555.25,24536,24544.75
